epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,28189.9,0.83775,0.59074,1.12844,0.81334,0.71553,0.76973,0.58513,0.78032,0.49315,1.10734,0.0072277,0.0072277,0.0072277
73,28575.1,0.83222,0.58601,1.11885,0.80872,0.72088,0.77026,0.58578,0.77951,0.49304,1.10716,0.00715761,0.00715761,0.00715761
74,28963.1,0.83095,0.5849,1.12233,0.80509,0.72645,0.77,0.58654,0.77798,0.49287,1.10656,0.007087,0.007087,0.007087
75,29349.3,0.82854,0.58008,1.11907,0.8139,0.72181,0.77193,0.58712,0.77703,0.4923,1.10634,0.00701588,0.00701588,0.00701588
76,29735.9,0.83193,0.58115,1.12025,0.82483,0.7204,0.77278,0.5881,0.77687,0.49247,1.10645,0.00694428,0.00694428,0.00694428
77,30123.4,0.8232,0.571,1.10857,0.82256,0.72242,0.77303,0.58757,0.77679,0.49261,1.10627,0.00687222,0.00687222,0.00687222
78,30507.9,0.81918,0.56752,1.11174,0.82262,0.72459,0.77344,0.58835,0.77642,0.49169,1.1064,0.0067997,0.0067997,0.0067997
79,30896.1,0.81909,0.56877,1.10455,0.8225,0.72367,0.7737,0.58806,0.7764,0.49016,1.10637,0.00672675,0.00672675,0.00672675
80,31280.5,0.81556,0.56628,1.10747,0.81438,0.72652,0.77333,0.58835,0.77622,0.48997,1.10604,0.00665339,0.00665339,0.00665339
81,31664,0.81265,0.56087,1.10267,0.81215,0.73058,0.77394,0.58878,0.77569,0.4897,1.10525,0.00657963,0.00657963,0.00657963
82,32051.2,0.81426,0.55782,1.10329,0.81029,0.73197,0.77395,0.58846,0.77549,0.4892,1.10484,0.0065055,0.0065055,0.0065055
83,32433.9,0.80437,0.55088,1.09698,0.8077,0.73289,0.77413,0.58951,0.77519,0.48895,1.10431,0.00643101,0.00643101,0.00643101
84,32822.5,0.8025,0.55215,1.09985,0.80848,0.73041,0.77469,0.58937,0.77472,0.48881,1.10404,0.00635617,0.00635617,0.00635617
85,33204.3,0.80527,0.5514,1.10283,0.80854,0.73162,0.77489,0.58975,0.77431,0.48867,1.10353,0.00628101,0.00628101,0.00628101
86,33590.3,0.79914,0.54273,1.09833,0.81176,0.72668,0.77434,0.59037,0.77401,0.4881,1.10367,0.00620555,0.00620555,0.00620555
87,33977.3,0.80184,0.5448,1.08962,0.81328,0.72675,0.77501,0.5904,0.77364,0.48748,1.10336,0.00612981,0.00612981,0.00612981
88,34364.1,0.79854,0.53562,1.09482,0.81553,0.72563,0.77527,0.59108,0.77336,0.48695,1.10313,0.0060538,0.0060538,0.0060538
89,34751.5,0.79429,0.53464,1.1003,0.8164,0.72577,0.77519,0.59143,0.77314,0.48651,1.103,0.00597754,0.00597754,0.00597754
90,35140.2,0.79192,0.5331,1.09524,0.81007,0.72743,0.77561,0.59174,0.77314,0.48572,1.10314,0.00590105,0.00590105,0.00590105
91,35526.6,0.7906,0.53123,1.09184,0.80741,0.72799,0.77616,0.59184,0.77309,0.48523,1.10308,0.00582435,0.00582435,0.00582435
92,35912.9,0.785,0.5231,1.08231,0.80992,0.72772,0.7759,0.59229,0.77283,0.48457,1.10277,0.00574746,0.00574746,0.00574746
93,36301,0.78481,0.5262,1.08531,0.81686,0.72564,0.77613,0.59247,0.77244,0.48403,1.10259,0.0056704,0.0056704,0.0056704
94,36688.5,0.77917,0.52221,1.08601,0.81914,0.72463,0.77639,0.59273,0.77275,0.48341,1.10291,0.00559318,0.00559318,0.00559318
95,37074.6,0.77896,0.52101,1.08332,0.81739,0.72637,0.77669,0.59301,0.77275,0.48278,1.10279,0.00551584,0.00551584,0.00551584
96,37460.8,0.77527,0.51653,1.07983,0.81592,0.72614,0.77678,0.59355,0.77249,0.48285,1.10263,0.00543837,0.00543837,0.00543837
97,37847.2,0.76962,0.51435,1.08054,0.80318,0.73373,0.77684,0.59311,0.7722,0.48293,1.10255,0.00536081,0.00536081,0.00536081
98,38230.8,0.77082,0.51103,1.07492,0.81503,0.72654,0.77724,0.5934,0.77245,0.48301,1.10309,0.00528318,0.00528318,0.00528318
99,38614.1,0.76479,0.5077,1.08014,0.81645,0.72567,0.77711,0.59407,0.77214,0.48323,1.1028,0.00520548,0.00520548,0.00520548
100,39001.7,0.76539,0.50252,1.07506,0.80642,0.73059,0.77661,0.59407,0.77184,0.48263,1.10267,0.00512775,0.00512775,0.00512775
101,39384.5,0.75906,0.49914,1.06958,0.80666,0.73215,0.77696,0.59476,0.77176,0.48271,1.10265,0.00505,0.00505,0.00505
102,39769.5,0.76352,0.50156,1.07104,0.80713,0.73251,0.7775,0.59472,0.77169,0.4827,1.10276,0.00497225,0.00497225,0.00497225
103,40156.3,0.75595,0.49352,1.06769,0.81085,0.73007,0.77744,0.59496,0.77153,0.48234,1.10278,0.00489452,0.00489452,0.00489452
104,40543.1,0.7556,0.49487,1.06455,0.8051,0.73216,0.77786,0.59504,0.77144,0.48211,1.1028,0.00481682,0.00481682,0.00481682
105,40929.7,0.75112,0.49256,1.06386,0.80353,0.73195,0.77824,0.5956,0.77119,0.48167,1.10291,0.00473919,0.00473919,0.00473919
106,41317,0.74789,0.48704,1.05907,0.80487,0.73144,0.77804,0.59572,0.7712,0.48132,1.10278,0.00466163,0.00466163,0.00466163
107,41704.8,0.74579,0.48511,1.06305,0.80025,0.74189,0.77844,0.5963,0.77118,0.48104,1.1028,0.00458416,0.00458416,0.00458416
108,42090.9,0.74632,0.48394,1.06116,0.79646,0.74317,0.77872,0.59639,0.77128,0.48093,1.10279,0.00450682,0.00450682,0.00450682
109,42479.2,0.74031,0.47966,1.05872,0.80879,0.73748,0.77975,0.59668,0.77107,0.48073,1.10273,0.0044296,0.0044296,0.0044296
110,42867.8,0.7388,0.47816,1.05708,0.80963,0.73686,0.77983,0.59702,0.77108,0.48052,1.10267,0.00435254,0.00435254,0.00435254
111,43254.9,0.73496,0.4761,1.05766,0.81001,0.73663,0.7799,0.59726,0.77112,0.48033,1.10304,0.00427565,0.00427565,0.00427565
112,43642.5,0.739,0.4774,1.05522,0.80925,0.73788,0.78013,0.59778,0.77122,0.48006,1.10312,0.00419895,0.00419895,0.00419895
113,44029.3,0.72999,0.46783,1.05235,0.82316,0.73054,0.78056,0.598,0.77088,0.47934,1.10299,0.00412246,0.00412246,0.00412246
114,44416.7,0.72372,0.4631,1.04505,0.82933,0.72726,0.78053,0.59827,0.77079,0.47947,1.10292,0.0040462,0.0040462,0.0040462
115,44801.8,0.72309,0.46423,1.04552,0.82465,0.72892,0.78049,0.59839,0.77076,0.47893,1.10291,0.00397019,0.00397019,0.00397019
116,45187.8,0.71941,0.45861,1.0391,0.82263,0.72942,0.78066,0.59844,0.77078,0.47847,1.10281,0.00389445,0.00389445,0.00389445
117,45575.6,0.71881,0.45816,1.04055,0.82063,0.73037,0.78117,0.59859,0.77097,0.47833,1.10292,0.00381899,0.00381899,0.00381899
118,45963.4,0.71231,0.45344,1.03746,0.82288,0.7295,0.78153,0.59876,0.77111,0.4783,1.10288,0.00374383,0.00374383,0.00374383
119,46351.2,0.71213,0.45051,1.03769,0.8367,0.72583,0.78156,0.59882,0.77135,0.47846,1.10286,0.00366899,0.00366899,0.00366899
120,46738.4,0.71274,0.45098,1.03911,0.83783,0.7223,0.78124,0.59882,0.77148,0.47831,1.10286,0.0035945,0.0035945,0.0035945
121,47122.1,0.70656,0.45048,1.03698,0.83358,0.72483,0.78152,0.5995,0.77171,0.47839,1.10302,0.00352037,0.00352037,0.00352037
122,47507.2,0.7044,0.44269,1.034,0.83266,0.72569,0.78216,0.59976,0.77164,0.47833,1.10277,0.00344661,0.00344661,0.00344661
123,47895.2,0.70179,0.44047,1.03072,0.81567,0.73777,0.78244,0.60039,0.77163,0.478,1.1026,0.00337325,0.00337325,0.00337325
124,48282.7,0.69844,0.43944,1.02934,0.81041,0.73948,0.78291,0.60044,0.77181,0.47818,1.10263,0.0033003,0.0033003,0.0033003
125,48669.7,0.69814,0.43796,1.02852,0.80723,0.74107,0.78285,0.6008,0.77174,0.4779,1.10244,0.00322778,0.00322778,0.00322778
126,49055.7,0.6921,0.43627,1.02815,0.8039,0.74478,0.78267,0.60064,0.77207,0.47789,1.10275,0.00315572,0.00315572,0.00315572
127,49438.4,0.68823,0.43204,1.02556,0.8062,0.74211,0.78269,0.60062,0.77218,0.47785,1.10283,0.00308412,0.00308412,0.00308412
128,49820.6,0.687,0.43369,1.02477,0.80545,0.7446,0.78278,0.60097,0.77242,0.47764,1.10301,0.003013,0.003013,0.003013
129,50206.5,0.68732,0.43186,1.02692,0.80441,0.74264,0.78247,0.6015,0.77251,0.47769,1.10307,0.00294239,0.00294239,0.00294239
130,50594,0.6796,0.42476,1.02497,0.80313,0.74327,0.78237,0.6012,0.77266,0.47733,1.10313,0.0028723,0.0028723,0.0028723
131,50978,0.67559,0.42124,1.02235,0.79723,0.74523,0.78189,0.60131,0.77259,0.47721,1.10325,0.00280275,0.00280275,0.00280275
132,51360.7,0.67312,0.41819,1.01968,0.79491,0.7469,0.78197,0.60092,0.7729,0.4771,1.10355,0.00273375,0.00273375,0.00273375
133,51744.1,0.66805,0.41487,1.01793,0.79381,0.74864,0.78236,0.60133,0.77288,0.47698,1.10364,0.00266532,0.00266532,0.00266532
134,52128.2,0.66792,0.41407,1.01327,0.79208,0.75098,0.78241,0.60145,0.77297,0.47698,1.10375,0.00259748,0.00259748,0.00259748
135,52511.5,0.6678,0.41592,1.01407,0.79341,0.74971,0.78281,0.60186,0.77298,0.4767,1.10377,0.00253024,0.00253024,0.00253024
136,52897.5,0.66416,0.41028,1.00811,0.79496,0.74884,0.78312,0.6022,0.77301,0.47642,1.1038,0.00246363,0.00246363,0.00246363
137,53284.4,0.65722,0.40515,1.00515,0.79341,0.74951,0.78303,0.60224,0.77309,0.47668,1.10373,0.00239766,0.00239766,0.00239766
138,53673.4,0.65505,0.40251,1.00647,0.79238,0.74982,0.78295,0.60234,0.77304,0.47663,1.10357,0.00233234,0.00233234,0.00233234
139,54060.8,0.65473,0.40173,1.00787,0.7909,0.75091,0.78319,0.60277,0.77299,0.47661,1.10383,0.00226769,0.00226769,0.00226769
140,54446.1,0.65153,0.39972,1.00663,0.79396,0.74928,0.78376,0.60335,0.77319,0.47714,1.10404,0.00220372,0.00220372,0.00220372
141,54833.5,0.64625,0.39721,1.00434,0.8394,0.72155,0.78375,0.60319,0.77324,0.47719,1.1042,0.00214046,0.00214046,0.00214046
142,55218.3,0.64244,0.39232,1.00178,0.83604,0.72238,0.78413,0.60313,0.77332,0.47724,1.10439,0.00207792,0.00207792,0.00207792
143,55602.4,0.64152,0.39047,0.99713,0.83566,0.72255,0.78454,0.60363,0.77346,0.47709,1.10465,0.00201611,0.00201611,0.00201611
144,55988.1,0.6381,0.38979,0.99547,0.8097,0.73659,0.78498,0.6033,0.77368,0.47704,1.10472,0.00195505,0.00195505,0.00195505
145,56371.1,0.6399,0.38923,0.99292,0.81271,0.73551,0.78507,0.60377,0.77381,0.47673,1.1047,0.00189475,0.00189475,0.00189475
146,56759.1,0.63382,0.38815,0.99249,0.8156,0.73438,0.78483,0.60378,0.77377,0.47677,1.10455,0.00183523,0.00183523,0.00183523
147,57141.9,0.6315,0.389,0.99378,0.8178,0.73389,0.78475,0.60406,0.77392,0.4766,1.10457,0.00177651,0.00177651,0.00177651
148,57529.4,0.62866,0.38066,0.99155,0.81965,0.73349,0.78459,0.60369,0.77415,0.4766,1.10488,0.00171859,0.00171859,0.00171859
149,57911.7,0.62551,0.38035,0.99118,0.82173,0.73274,0.7852,0.60378,0.77448,0.47647,1.1053,0.00166149,0.00166149,0.00166149
150,58298.4,0.62178,0.37929,0.9887,0.8171,0.73696,0.78513,0.60417,0.77423,0.47664,1.10497,0.00160523,0.00160523,0.00160523
151,58685.6,0.61881,0.37638,0.98766,0.81245,0.73942,0.78553,0.60456,0.77449,0.47683,1.10517,0.00154982,0.00154982,0.00154982
152,59073.3,0.6163,0.37189,0.98221,0.81464,0.73883,0.78552,0.60479,0.77474,0.47681,1.10527,0.00149527,0.00149527,0.00149527
153,59459.6,0.61298,0.36872,0.98227,0.8109,0.74104,0.78563,0.60521,0.77524,0.4769,1.10557,0.00144161,0.00144161,0.00144161
154,59850.2,0.60904,0.36699,0.98164,0.80611,0.7435,0.78565,0.60518,0.77545,0.47716,1.10581,0.00138883,0.00138883,0.00138883
155,60239.5,0.61029,0.3663,0.98234,0.80753,0.7434,0.78587,0.60501,0.77559,0.47726,1.10612,0.00133695,0.00133695,0.00133695
156,60627.3,0.60615,0.36746,0.98095,0.80692,0.74258,0.78425,0.6046,0.7758,0.47732,1.10637,0.00128599,0.00128599,0.00128599
157,61013.4,0.60639,0.36415,0.97753,0.8063,0.7435,0.78437,0.60457,0.77591,0.47756,1.10647,0.00123596,0.00123596,0.00123596
